#Iteration	 RMSE	               Rel. Err.
0	     2.260578e-01	     1.080385e-01
1	     1.987028e-01	     9.496493e-02
2	     1.913294e-01	     9.144101e-02
3	     1.851323e-01	     8.847925e-02
4	     1.821329e-01	     8.704577e-02
5	     1.799153e-01	     8.598594e-02
6	     1.789193e-01	     8.550992e-02
7	     1.760450e-01	     8.413621e-02
8	     1.739361e-01	     8.312834e-02
9	     1.721687e-01	     8.228363e-02
10	     1.711015e-01	     8.177361e-02
11	     1.687478e-01	     8.064871e-02
12	     1.669704e-01	     7.979922e-02
13	     1.653795e-01	     7.903892e-02
14	     1.642880e-01	     7.851725e-02
15	     1.621757e-01	     7.750775e-02
16	     1.604532e-01	     7.668452e-02
17	     1.589008e-01	     7.594256e-02
18	     1.577750e-01	     7.540455e-02
19	     1.556864e-01	     7.440632e-02
20	     1.539397e-01	     7.357156e-02
21	     1.523557e-01	     7.281451e-02
22	     1.514208e-01	     7.236768e-02
23	     1.491854e-01	     7.129935e-02
24	     1.473358e-01	     7.041540e-02
25	     1.456479e-01	     6.960869e-02
26	     1.451614e-01	     6.937620e-02
27	     1.426592e-01	     6.818031e-02
28	     1.406154e-01	     6.720354e-02
29	     1.387885e-01	     6.633039e-02
30	     1.370911e-01	     6.551919e-02
31	     1.364644e-01	     6.521967e-02
32	     1.340146e-01	     6.404886e-02
33	     1.319617e-01	     6.306774e-02
34	     1.301405e-01	     6.219734e-02
35	     1.284038e-01	     6.136730e-02
36	     1.268104e-01	     6.060579e-02
37	     1.256615e-01	     6.005669e-02
38	     1.235085e-01	     5.902774e-02
39	     1.216097e-01	     5.812025e-02
40	     1.199608e-01	     5.733221e-02
41	     1.183726e-01	     5.657316e-02
42	     1.180528e-01	     5.642030e-02
43	     1.158625e-01	     5.537350e-02
44	     1.139648e-01	     5.446658e-02
45	     1.123557e-01	     5.369755e-02
46	     1.108699e-01	     5.298741e-02
47	     1.094787e-01	     5.232257e-02
48	     1.081986e-01	     5.171074e-02
49	     1.070035e-01	     5.113958e-02
50	     1.064722e-01	     5.088565e-02
51	     1.049793e-01	     5.017218e-02
52	     1.036076e-01	     4.951659e-02
53	     1.024306e-01	     4.895409e-02
54	     1.013810e-01	     4.845245e-02
55	     1.003811e-01	     4.797459e-02
56	     9.943868e-02	     4.752418e-02
57	     9.856954e-02	     4.710880e-02
58	     9.775588e-02	     4.671993e-02
59	     9.753265e-02	     4.661324e-02
60	     9.654609e-02	     4.614174e-02
